ArticleTitle,Question,Answer,DifficultyFromQuestioner,DifficultyFromAnswerer,ArticleFile,cssm
San Francisco,"The only consolidated city-county in California, does it encompass a land area of on the northern end of the San Francisco Peninsula, making it the second most densely populated city in the United States?",San Francisco,,hard,S10_set3_a8,0.6262244
Uruguay,"Is Uruguay 's oldest church in San Carlos , Maldonado ?",Yes,,easy,S08_set2_a9,0.25001782
James Monroe,What did James Monroe's letters not contain?,No letters survive in which he might have discussed his religious beliefs.,hard,hard,S08_set3_a2,0.124684654
Trumpet,What is the most common type of trumpet?,The B trumpet.,medium,medium,S09_set2_a3,0.635028
Cello,What does violincello mean?,"Violincello means ""little violene"".",medium,medium,S09_set2_a9,0.7418492
Guitar,Can guitars be divided into two broad categories?,Yes,easy,easy,S10_set2_a7,-0.0037706718
Indonesia,Is Indonesia the world's largest archipelagic state?,yes,,medium,S08_set2_a10,0.03602086
Indonesia,Did the Japanese invasion and subsequent occupation during WWII end Dutch rule?,yes,easy,easy,S08_set2_a10,0.086399
Giant Panda,Is the Giant Panda an endangered species?,yes,easy,easy,S10_set1_a4,0.080126956
Nassau,Does the United States have a base near Glasgow?,yes,hard,hard,S09_set3_a2,0.25001782
Turkish Language,How many people speak Turkish worldwide?,There are roughly another 10 million native speakers worldwide.,easy,medium,S10_set5_a8,0.48110414
Ulysses S. Grant,Did Horace Greenley lose in the presidential elections of 1872?,Yes,hard,hard,S08_set3_a5,0.1214189
Vietnamese Language,Does Vietnamese borrow from Latin and Greek?,"No, Vietnamese does not borrow from Latin and Greek.",hard,medium,S10_set5_a10,0.8354987
Beetle,What are the similarities between beetles and grasshoppers?,mouthparts,hard,medium,S08_set1_a8,0.12336339
Singapore,Who did Sir Thomas Stamford Raffles work for?,British East India Company,hard,hard,S08_set2_a2,0.35556915
Isaac Newton,When did Netwon investigate the refraction of light,From 1670 to 1672,hard,hard,S09_set4_a1,0.22487581
Drum,"Do drums consist of at least one membrane, called a drumhead or drum skin, that is stretched over a shell and struck, either directly with parts of a player's body, or with some sort of implement such as a drumstick, to produce sound?",yes,,easy,S10_set2_a4,0.080705866
Anders Celsius,What is Anders Celsius`s last name?,Celsius,,easy,S09_set4_a5,0.7672411
Xylophone,Was the xylophone associated with the folk music of the United States by the 19th century?,no,easy,easy,S10_set2_a8,-0.09665628
Isaac Newton,Where was Isaac Newton born?,At Woolsthorpe Manor in Woosthorpe-by-Colsterworth.,medium,medium,S10_set4_a1,0.39164615
Henri Becquerel,Where is Henri Becquerel from?,Paris,,medium,S09_set4_a9,0.3394115
Antwerp,Why is Antwerp important to fashion?,Yes,hard,medium,S10_set3_a4,0.017913338
Ant,What may happen to red fire ants if we use boiling water on the queen?,nests of red fire ants may be destroyed,hard,medium,S10_set1_a1,0.6351471
Kangaroo,Have larger kangaroos adapted much better to changes?,yes,,easy,S08_set1_a1,0.25001782
Canada,Is Canada's official language Zulu?,No.,easy,easy,S08_set2_a8,0.28296334
Liechtenstein,What percentage of Liechtenstein's population is foreign-born?,two-thirds,hard,hard,S08_set2_a1,0.100477144
Romania,Is Romania a secular state?,Yes.,easy,easy,S08_set2_a7,-0.030941635
Jakarta,Did the economy improve in Jakarta in 2007,yes,hard,hard,S10_set3_a5,0.25001782
Calvin Coolidge,Which state were Coolidge born in?,"Plymouth, Windsor County, Vermont",medium,medium,S08_set3_a9,0.23563975
Swedish Language,How does Swedish language counterbalance the absence of cases?,The lack of cases in Swedish is compensated by a wide variety of prepositions.,hard,hard,S10_set5_a9,0.67629284
Amedeo Avogadro,What was Amedeo Avogadro`s profession?,professor of physics,,hard,S09_set4_a8,0.43280214
Giant Panda,When was the Giant Panda's genome sequenced?,2009,medium,medium,S10_set1_a4,0.2279455
James Monroe,Who dismantled partisan and sectional coalitions ?,many congressmen,,medium,S08_set3_a2,0.077631384
Blaise Pascal,How old was Pascal when he died?,39,hard,too hard,S10_set4_a4,0.16534975
Henri Becquerel,What is Henri Becquerel?,Henri Becquerel was a famous physicist.,,easy,S09_set4_a9,0.71222544
Blaise Pascal,Did Pascal have poor health throughout his life?,yes,easy,easy,S10_set4_a4,-0.0021852069
Eel,Do all eels live in fresh water?,No,hard,hard,S10_set1_a8,-0.09195675
Michael Faraday,Was his father member of the Sandemanian sect?,yes,,easy,S09_set4_a7,0.25001782
Ghana,Is Ghana's head of state John Agyekum Kufuor?,yes,easy,easy,S08_set2_a5,0.11403148
Flute,Is the flute a musical instrument?,Yes.,easy,easy,S09_set2_a5,-0.06136547
Nassau,Was Nassau placed in operation by Robert Fulton?,yes,easy,easy,S09_set3_a2,0.25001782
Octopus,Is octopus a common food in Mediterranean cuisine as well as Portuguese cuisine?,Yes,,easy,S10_set1_a10,0.03337051
Michael Faraday,Where was Michael Faraday born?,Michael Faraday was born in Newington Butts.,medium,medium,S10_set4_a7,0.92383224
Zebra,How many species of zebra are there?,three,medium,medium,S10_set1_a9,0.29208994
Turkish Language,What are the patterns of vowel harmony?,Vowels are characterised by two features: front/back and rounded/unrounded.,hard,easy,S10_set5_a8,0.63627017
Nikola Tesla,Was Tesla an American citizen?,Yes,easy,easy,S10_set4_a3,0.02647905
Alessandro Volta,What happened in 1810?,Volta was made a count by Napoleon.,,hard,S10_set4_a10,0.31864512
Duck,Who is Daffy Duck?,A silly cartoon character,hard,hard,S08_set1_a10,0.5027065
Millard Fillmore,Who got Seward elected to the senate?,Weed,medium,medium,S08_set3_a3,0.08516829
Xylophone,Is the xylophone a precursor to the vibraphone?,yes,easy,easy,S09_set2_a8,0.050027512
Abraham Lincoln,Did Lincoln beat John C. Breckinridge in the 1860 election?,yes,hard,medium,S08_set3_a4,0.1454272
Calvin Coolidge,Was Coolidge the thirteenth President of the United States?,No,easy,easy,S08_set3_a9,0.003891576
Giant Panda,Why is the Giant Panda an endangered species?,threatened by habitat loss,hard,medium,S10_set1_a4,0.3855998
Isaac Newton,"Was Isaac Newton educated at The King's Schol, Grantham?",yes,easy,easy,S10_set4_a1,0.13257241
Bee,What do humans use bees for?,honey,hard,hard,S09_set1_a8,0.4453981
Trumpet,Were trumpet players heavily guarded?,yes,easy,easy,S10_set2_a3,0.25001782
Leopard,Does a male leopard weigh more than a female leopard?,yes,hard,medium,S08_set1_a2,-0.018707681
Amedeo Avogadro,What is Avogadro's number?,6.02214199x10 23,hard,hard,S09_set4_a8,0.14227307
German Language,"Have adverbs of time to appear in the third place in the sentence , just after the predicate ?",Yes,,easy,S09_set5_a2,0.026957553
Finland,Who is the most popular rock group in Finland?,CMX,medium,medium,S08_set2_a4,-0.03841609
Amedeo Avogadro,When did he publish another memoria?,1821,,medium,S08_set4_a8,0.041419636
Uruguay,How do india and latin america relate?,Uruguay exports architectural services to India and Latin America,,hard,S08_set2_a9,0.4460476
Taipei,Is the National Palace Museum in Taipei?,Yes,easy,easy,S10_set3_a6,0.031451546
San Francisco,"Like many larger where cities, San Francisco is a minority-majority city, as non-Hispanic whites comprise less than half of the population?",U.S.,,medium,S10_set3_a8,0.15015626
Otter,"Are Male otters dog-otters , females are bitches and babies are cubs or pups ?",yes,,easy,S08_set1_a7,0.25001782
Otter,Can otters survive in cold water?,yes,easy,medium,S08_set1_a7,-0.026624639
San Francisco,In what year did the Spanish establish a fort at the Golden Gate and a mission named for Francis of Assisi on the site?,"In 1776, the Spanish established a fort at the Golden Gate and a mission named for Francis of Assisi on the site.",,medium,S10_set3_a8,0.99143386
Elephant,Can an elephant kill a rhinoceros?,yes,easy,hard,S08_set1_a5,0.07005359
Ghana,Is English the official language?,yes,easy,easy,S08_set2_a5,0.25001782
Giant Panda,Is the Giant Panda a terrestrial animal?,yes,easy,easy,S10_set1_a4,-0.018942056
Woodrow Wilson,Was Wilson an automobile enthusiast?,yes,easy,easy,S08_set3_a8,0.25001782
Qatar,Can women legally drive in Qatar?,Yes.,easy,easy,S08_set2_a3,0.11869922
Chinese Language,What is the total number of Chinese words?,"The Hanyu Da Zidian includes 54,678 head entries for characters.",hard,hard,S10_set5_a7,0.11375374
James Monroe,Did Monroe' wedding happen at the Trinity Church in New York?,Yes,hard,easy,S08_set3_a2,0.03346178
Alessandro Volta,What is the battery made by Alessandro Volta credited as?,The battery made by Volta is credited as the first electrochemical cell.,medium,medium,S10_set4_a10,0.7196105
Turtle,Are Testudines the crown group of the superorder Chelonia?,yes,easy,easy,S09_set1_a9,0.107464634
Vietnamese Language,Is the Red River Delta traditionally poor?,"Not compared to Nghe An, Ha Tinh, or Quang Binh",hard,medium,S10_set5_a10,0.1276679
Calvin Coolidge,When was Coolidge born?,July 4 1872,medium,medium,S08_set3_a9,0.42559642
Calvin Coolidge,Where did Coolidge's grandfather had government offices?,Plymouth,medium,medium,S08_set3_a9,0.0072770994
Koala,Do populations also extend for considerable distances inland in regions with enough moisture to support suitable woodlands?,Populations also extend for considerable distances inland in regions with enough moisture to support suitable woodlands.,,easy,S10_set1_a3,0.8509307
Antwerp,Is Antwerp a municipality?,Yes,easy,easy,S10_set3_a4,-0.053745404
Michael Faraday,did he discover benzene?,Yes,easy,easy,S10_set4_a7,-0.037352376
Portuguese Language,What event marked the end of the Old Portuguese period?,The publication of the Cancioneiro Geral by Garcia de Resende in 1516,medium,medium,S10_set5_a1,0.29318047
Finland,What is the life expectancy for men?,75 years,medium,medium,S08_set2_a4,0.13255501
Pablo Picasso,What happened in 1838?,Don Jos� Ruiz y Blasco was born,,hard,S10_set6_a1,0.02291669
Malay Language,What family is Malay a member of?,Austronesian family,medium,medium,S10_set5_a2,0.462897
Amedeo Avogadro,How many years ago was it when he became a professor of physics at the University of Turin?,189,,hard,S09_set4_a8,0.06202633
Michael Faraday,How many siblings did Faraday have?,Faraday had three siblings.,hard,hard,S10_set4_a7,0.15842739
Alessandro Volta,Where did he publish his invention of the Voltaic pile battery?,the Philosophical Transactions of the Royal Society,,medium,S09_set4_a10,0.12050138
Indonesia,Is it the world 's fourth most populous country and the most populous muslim-majority nation?,yes,,easy,S08_set2_a10,0.2142048
