ArticleTitle,Question,Answer,DifficultyFromQuestioner,DifficultyFromAnswerer,ArticleFile,cssm
Grover Cleveland,Who did Cleveland run against in 1884?,former Senator James G. Blaine of Maine,hard,easy,S08_set3_a6,0.26181352
Octopus,How can an octopus defend against predators?,"To defend against predators, an octopus can hide, flee quickly, expel ink, or use color-changing camouflage.",hard,medium,S10_set1_a10,0.8863099
Saint Petersburg,When did the crime level become higher?,After the October revolution.,hard,easy,S10_set3_a10,0.27046812
Cymbal,How many cymbals typically go in a drum kit?,at least 3,hard,hard,S10_set2_a6,0.25850713
John Adams,When did John Adams serve as Vice President?,1789-1797,medium,easy,S08_set3_a1,0.5227122
Trumpet,Is the Breeze Eazy' ' method sometimes used to teach younger students?,Yes.,,easy,S10_set2_a3,0.1830811
Guitar,How many strings does a guitar typically have?,Six,medium,medium,S10_set2_a7,0.44029102
Leopard,How long is a leopard's tail?,60 to 110cm,medium,medium,S08_set1_a2,0.07859112
Isaac Newton,Did Isaac Newton die in 1898?,No.,easy,easy,S10_set4_a1,0.25874364
Anders Celsius,Is it true that thermometer had 100 for the freezing point?,Yes,,easy,S08_set4_a5,0.19304565
Portuguese Language,Which government established Portuguese as it's third official language in order to meet the requirements to apply for full membership in the CPLP?,Equatorial Guinea,hard,medium,S10_set5_a1,0.10076675
Trumpet,The trumpet can be confused with what close relative?,the cornet,medium,medium,S10_set2_a3,0.13092662
Amedeo Avogadro,Was Avogadro a  professor at the University of Turin?,Yes,easy,easy,S10_set4_a8,0.0341852
Tiger,What would a tiger do when seized by a crocodile?,A tiger will strike at the reptile's eyes with its paws.,medium,medium,S09_set1_a3,0.06321336
German Language,How many years ago was the Luther Bible by Martin Luther printed?,475,,hard,S09_set5_a2,0.122429416
Beetle,What is the study of beetles called?,coleopterology,medium,medium,S08_set1_a8,0.20157602
Amedeo Avogadro,Was King Victor  Emmanuel  III there to pay  homage  to Avogadro?,Yes,,easy,S09_set4_a8,0.25001782
Otter,Are male otters dog-otters?,yes,,easy,S08_set1_a7,0.25001782
John Adams,Who was on the committee with Adams to draft  a Declaration of Independence?,"Thomas Jefferson, Benjamin Franklin, Robert R. Livingston and Roger Sherman.",medium,medium,S08_set3_a1,0.5104301
Finland,What is the biggest city in Finland?,Greater Helsinki,medium,hard,S08_set2_a4,0.563246
Henri Becquerel,What is Henri Becquerel?,Henri Becquerel was a famous physicist.,,easy,S09_set4_a9,0.6122143
Amedeo Avogadro,When did he publish another memoria?,1821,,medium,S08_set4_a8,0.041419636
Theodore Roosevelt,Was Roosevelt's family rich?,yes,hard,hard,S08_set3_a7,0.09157471
Amedeo Avogadro,What is Amedeo Avogadro?,A person.,,hard,S09_set4_a8,0.09031999
Uruguay,How many times has Uruguay won the World Cup?,Twice. ,hard,hard,S08_set2_a9,0.05088622
Octopus,Do octopuses have two eyes and four pairs of arms?,"Yes, octopuses have two eyes and four pairs of arms.",,easy,S10_set1_a10,1.0000001
Romania,"Who was the first gymnast to score a perfect ""ten""?",Nadia Comăneci,medium,medium,S08_set2_a7,0.06272629
Piano,What are a piano's keys generally made of?,Piano keys are generally made of spruce or basswood.,medium,easy,S10_set2_a1,0.9202987
Saint Petersburg,When was the 7th symphony premiered?,1942,,medium,S10_set3_a10,0.117437124
Theodore Roosevelt,What did Roosevelt do to improve his physical condition?,Roosevelt took up exercise,medium,hard,S08_set3_a7,0.70327485
Trumpet,Did Miles Davis play the trumpet?,Yes,hard,hard,S09_set2_a3,0.32595596
Anders Celsius,Is The Celsius  crater  on the Moon named after him?,yes,,easy,S09_set4_a5,0.25001782
Qatar,Do nearly all Qataris profess Islam?,Yes.,easy,easy,S08_set2_a3,0.3633521
John Adams,Who represented the Continental Congress in Europe?,John Adams,,medium,S08_set3_a1,0.20794168
Liechtenstein,The Historical Society of the Principality of Liechtenstein plays what?,a role in preserving the culture and history of the country.,,easy,S08_set2_a1,0.31916267
Amedeo Avogadro,Is avogadro `s  number commonly used to compute  the results  of chemical reactions?,Yes,,easy,S09_set4_a8,0.22383006
Isaac Newton,Did he build the first practical reflecting telescope?,yes,easy,easy,S10_set4_a1,0.33782086
Millard Fillmore,Is the comic strip Mallard Fillmore named after the president ?,yes,,easy,S08_set3_a3,0.33559585
Taipei,Was Taipei founded in the 18th century?,Yes,easy,easy,S10_set3_a6,0.12746273
Finland,What is Finland's economy like?,"a highly industrialised, free-market economy",hard,medium,S08_set2_a4,0.44653302
Michael Faraday,Did Faraday marry Sarah Barnard?,"Yes, Faraday married Sarah Barnard.",easy,easy,S10_set4_a7,0.9322473
Finnish Language,Is Finnish threatened by English?,No,easy,easy,S10_set5_a5,0.3168735
Woodrow Wilson,"Did he not cast his ballot for John M. Palmer , the presidential candidate of the National Democratic Party , or Gold Democrats , a short-lived party that supported a gold standard , low tariffs , and limited government ?",Yes,,easy,S08_set3_a8,0.20880218
